cutoff,sleep_mean,sleep_se,sed_mean,sed_se
25.0000,14.5169,0.0818,4.7755,0.0516
30.0000,13.6874,0.0812,5.3768,0.0523
35.0000,12.9671,0.0785,5.9193,0.0520
40.0000,12.3421,0.0748,6.4069,0.0503
45.0000,11.7756,0.0708,6.8626,0.0484
50.0000,11.2728,0.0672,7.2782,0.0465
55.0000,10.8107,0.0623,7.6698,0.0436
60.0000,10.3920,0.0580,8.0323,0.0415
65.0000,9.9980,0.0545,8.3810,0.0403
70.0000,9.6250,0.0528,8.7183,0.0402
75.0000,9.2497,0.0499,9.0642,0.0393
80.0000,8.8438,0.0485,9.4469,0.0385
85.0000,8.3207,0.0472,9.9512,0.0388
90.0000,7.4170,0.0499,10.8406,0.0422
95.0000,5.2324,0.0608,13.0162,0.0521
100.0000,2.1624,0.0635,16.0839,0.0557
