cutoff,sleep_mean,diff
25.0000,14.5169,7.5642
25.1000,14.3749,7.4223
25.2000,14.3749,7.4223
25.3000,14.3749,7.4223
25.4000,14.3749,7.4223
25.5000,14.3706,7.4179
25.6000,14.3706,7.4179
25.7000,14.3706,7.4179
25.8000,14.3706,7.4179
25.9000,14.2307,7.2781
26.0000,14.2307,7.2781
26.1000,14.2307,7.2781
26.2000,14.2307,7.2781
26.3000,14.2307,7.2781
26.4000,14.2262,7.2736
26.5000,14.2262,7.2736
26.6000,14.2262,7.2736
26.7000,14.0895,7.1368
26.8000,14.0895,7.1368
26.9000,14.0895,7.1368
27.0000,14.0895,7.1368
27.1000,14.0895,7.1368
27.2000,14.0895,7.1368
27.3000,14.0845,7.1318
27.4000,14.0845,7.1318
27.5000,14.0845,7.1318
27.6000,13.9522,6.9995
27.7000,13.9522,6.9995
27.8000,13.9522,6.9995
27.9000,13.9522,6.9995
28.0000,13.9522,6.9995
28.1000,13.9522,6.9995
28.2000,13.9475,6.9948
28.3000,13.9475,6.9948
28.4000,13.8188,6.8662
28.5000,13.8188,6.8662
28.6000,13.8188,6.8662
28.7000,13.8188,6.8662
28.8000,13.8188,6.8662
28.9000,13.8188,6.8662
29.0000,13.8188,6.8662
29.1000,13.8144,6.8617
29.2000,13.6874,6.7347
29.3000,13.6874,6.7347
29.4000,13.6874,6.7347
29.5000,13.6874,6.7347
29.6000,13.6874,6.7347
29.7000,13.6874,6.7347
29.8000,13.6874,6.7347
29.9000,13.6874,6.7347
30.0000,13.6874,6.7347
30.1000,13.5601,6.6075
30.2000,13.5601,6.6075
30.3000,13.5601,6.6075
30.4000,13.5601,6.6075
30.5000,13.5601,6.6075
30.6000,13.5601,6.6075
30.7000,13.5601,6.6075
30.8000,13.5601,6.6075
30.9000,13.4404,6.4877
31.0000,13.4356,6.4829
31.1000,13.4356,6.4829
31.2000,13.4356,6.4829
31.3000,13.4356,6.4829
31.4000,13.4356,6.4829
31.5000,13.4356,6.4829
31.6000,13.4356,6.4829
31.7000,13.3180,6.3653
31.8000,13.3180,6.3653
31.9000,13.3132,6.3605
32.0000,13.3132,6.3605
32.1000,13.3132,6.3605
32.2000,13.3132,6.3605
32.3000,13.3132,6.3605
