cutoff,sleep_mean,diff
50,11.2862,4.3335
50.01,11.2074,4.2547
50.02,11.2074,4.2547
50.03,11.2074,4.2547
50.04,11.2074,4.2547
50.05,11.2074,4.2547
50.06,11.2074,4.2547
50.07,11.2074,4.2547
50.08,11.2074,4.2547
50.09,11.2074,4.2547
50.1,11.2074,4.2547
50.11,11.2074,4.2547
50.12,11.2074,4.2547
50.13,11.2074,4.2547
50.14,11.2074,4.2547
50.15,11.2074,4.2547
50.16,11.2074,4.2547
50.17,11.2074,4.2547
50.18,11.2074,4.2547
50.19,11.2074,4.2547
50.2,11.2074,4.2547
50.21,11.2074,4.2547
50.22,11.2074,4.2547
50.23,11.2074,4.2547
50.24,11.2074,4.2547
50.25,11.2074,4.2547
50.26,11.2074,4.2547
50.27,11.2074,4.2547
50.28,11.2074,4.2547
50.29,11.2074,4.2547
50.3,11.2074,4.2547
50.31,11.2074,4.2547
50.32,11.2074,4.2547
50.33,11.2074,4.2547
50.34,11.2074,4.2547
50.35,11.2074,4.2547
50.36,11.2074,4.2547
50.37,11.2074,4.2547
50.38,11.2074,4.2547
50.39,11.2074,4.2547
50.4,11.2074,4.2547
50.41,11.2074,4.2547
50.42,11.2074,4.2547
50.43,11.2074,4.2547
50.44,11.2074,4.2547
50.45,11.2074,4.2547
50.46,11.2074,4.2547
50.47,11.2074,4.2547
50.48,11.2074,4.2547
50.49,11.2074,4.2547
50.5,11.2074,4.2547
50.51,11.2074,4.2547
50.52,11.2074,4.2547
50.53,11.2074,4.2547
50.54,11.2074,4.2547
50.55,11.2074,4.2547
50.56,11.2074,4.2547
50.57,11.2074,4.2547
50.58,11.2074,4.2547
50.59,11.2074,4.2547
50.6,11.2074,4.2547
50.61,11.2074,4.2547
50.62,11.2074,4.2547
50.63,11.2074,4.2547
50.64,11.2074,4.2547
50.65,11.2074,4.2547
50.66,11.2074,4.2547
50.67,11.2074,4.2547
50.68,11.2074,4.2547
50.69,11.2074,4.2547
50.7,11.2074,4.2547
50.71,11.2074,4.2547
50.72,11.2074,4.2547
50.73,11.2074,4.2547
50.74,11.2074,4.2547
50.75,11.2074,4.2547
50.76,11.2074,4.2547
50.77,11.2074,4.2547
50.78,11.2074,4.2547
50.79,11.2074,4.2547
50.8,11.2074,4.2547
50.81,11.2074,4.2547
50.82,11.2074,4.2547
50.83,11.2074,4.2547
50.84,11.1309,4.1782
50.85,11.1309,4.1782
50.86,11.1309,4.1782
50.87,11.1309,4.1782
50.88,11.1309,4.1782
50.89,11.1309,4.1782
50.9,11.1309,4.1782
50.91,11.1309,4.1782
50.92,11.1309,4.1782
50.93,11.1309,4.1782
50.94,11.1309,4.1782
50.95,11.1309,4.1782
50.96,11.1309,4.1782
50.97,11.1309,4.1782
50.98,11.1309,4.1782
50.99,11.1309,4.1782
51,11.1309,4.1782
51.01,11.1309,4.1782
51.02,11.1309,4.1782
51.03,11.1309,4.1782
51.04,11.1309,4.1782
51.05,11.1309,4.1782
51.06,11.1309,4.1782
51.07,11.1309,4.1782
51.08,11.1309,4.1782
51.09,11.1309,4.1782
51.1,11.1309,4.1782
51.11,11.1309,4.1782
51.12,11.1309,4.1782
51.13,11.1309,4.1782
51.14,11.1309,4.1782
51.15,11.1309,4.1782
51.16,11.1309,4.1782
51.17,11.1309,4.1782
51.18,11.1309,4.1782
51.19,11.1309,4.1782
51.2,11.1309,4.1782
51.21,11.1309,4.1782
51.22,11.1309,4.1782
51.23,11.1309,4.1782
51.24,11.1309,4.1782
51.25,11.1309,4.1782
51.26,11.1309,4.1782
51.27,11.1309,4.1782
51.28,11.1309,4.1782
51.29,11.1309,4.1782
51.3,11.1309,4.1782
51.31,11.1309,4.1782
51.32,11.1309,4.1782
51.33,11.1309,4.1782
51.34,11.1309,4.1782
51.35,11.1309,4.1782
51.36,11.1309,4.1782
51.37,11.1309,4.1782
51.38,11.1309,4.1782
