DayType,Hour,percent_sedentary,ci_l,ci_u
Weekend,1,83.6996,83.0552,84.344
Weekday,1,87.6756,87.0292,88.322
Weekend,2,86.972,86.2382,87.7058
Weekday,2,90.7148,90.0899,91.3397
Weekend,3,89.9401,89.2186,90.6615
Weekday,3,92.7835,92.1558,93.4113
Weekend,4,92.0078,91.41,92.6055
Weekday,4,92.7722,92.0923,93.4522
Weekend,5,91.8919,91.25,92.5338
Weekday,5,89.9493,89.2185,90.6801
Weekend,6,88.9778,88.0001,89.9554
Weekday,6,82.6817,81.6653,83.6981
Weekend,7,82.6717,81.5368,83.8065
Weekday,7,72.0215,71.1425,72.9005
Weekend,8,73.1776,72.19,74.1653
Weekday,8,61.9012,61.0227,62.7796
Weekend,9,64.6893,63.8456,65.533
Weekday,9,60.6415,60.0375,61.2456
Weekend,10,59.8657,59.2516,60.4797
Weekday,10,60.6937,60.0598,61.3276
Weekend,11,56.7706,56.2402,57.3011
Weekday,11,59.1731,58.5735,59.7727
Weekend,12,55.9101,55.28,56.5402
Weekday,12,58.159,57.4763,58.8417
Weekend,13,55.2412,54.6181,55.8642
Weekday,13,58.8372,58.2856,59.3887
Weekend,14,55.9029,55.2744,56.5314
Weekday,14,59.6923,59.0069,60.3777
Weekend,15,56.8572,56.3168,57.3976
Weekday,15,60.089,59.4956,60.6824
Weekend,16,57.7069,57.1193,58.2945
Weekday,16,59.5349,58.9058,60.164
Weekend,17,57.869,57.1048,58.6331
Weekday,17,59.6375,59.0639,60.2112
Weekend,18,58.6836,58.1935,59.1737
Weekday,18,58.763,58.2901,59.2359
Weekend,19,60.666,60.075,61.2569
Weekday,19,59.16,58.6238,59.6962
Weekend,20,64.0224,63.1792,64.8656
Weekday,20,62.6145,61.9104,63.318600000000004
Weekend,21,68.2489,67.2461,69.2518
Weekday,21,67.6107,66.8153,68.4062
Weekend,22,74.0021,73.3212,74.6831
Weekday,22,73.6759,73.2408,74.1111
Weekend,23,78.4502,77.9287,78.9718
Weekday,23,78.8219,78.3826,79.2613
Weekend,24,81.904,81.3201,82.488
Weekday,24,82.8589,82.2875,83.4303
