Analysis group,Measure,Mean (h/day),SE,95% CI lower,95% CI upper
Pooled,Waking sedentary time,11.3492,0.0444,11.2623,11.4361
Pooled,Waking time,17.0905,0.0525,16.9877,17.1934
Pooled,Sleep/nonwear time,6.9095,0.0525,6.8066,7.0123
Pooled,Self-reported sleep time,6.9527,0.0188,6.9159,6.9895
Cycle 2011-2012,Waking sedentary time,11.4564,0.0606,11.3376,11.5752
Cycle 2011-2012,Waking time,17.2687,0.0668,17.1379,17.3996
Cycle 2011-2012,Sleep/nonwear time,6.7313,0.0668,6.6004,6.8621
Cycle 2011-2012,Self-reported sleep time,6.9418,0.0262,6.8905,6.9932
Cycle 2013-2014,Waking sedentary time,11.2461,0.0656,11.1175,11.3747
Cycle 2013-2014,Waking time,16.9191,0.0832,16.756,17.0822
Cycle 2013-2014,Sleep/nonwear time,7.0809,0.0832,6.9178,7.244
Cycle 2013-2014,Self-reported sleep time,6.9635,0.0266,6.9114,7.0156
