Subgroup,Category,N (%),"Mean sedentary time (95% CI), hours/day"
Age group,<18,"4,601 (31.5%)","10.37 (10.25, 10.49)"
Age group,18-34,"2,969 (20.3%)","10.74 (10.51, 10.98)"
Age group,35-44,"1,622 (11.1%)","10.93 (10.67, 11.19)"
Age group,45-64,"3,273 (22.4%)","11.80 (11.68, 11.93)"
Age group,>=65,"2,143 (14.7%)","13.17 (12.99, 13.35)"
Gender,Male,"7,142 (48.9%)","11.48 (11.35, 11.62)"
Gender,Female,"7,466 (51.1%)","11.22 (11.12, 11.33)"
Race/ethnicity,Mexican American,"2,174 (14.9%)","10.61 (10.44, 10.79)"
Race/ethnicity,NH Asian,"1,673 (11.5%)","11.21 (11.01, 11.41)"
Race/ethnicity,NH Black,"3,628 (24.8%)","11.73 (11.49, 11.97)"
Race/ethnicity,NH White,"5,117 (35.0%)","11.45 (11.35, 11.55)"
Race/ethnicity,Other Hispanic,"1,431 (9.8%)","10.71 (10.46, 10.96)"
Race/ethnicity,Other/Multi,585 (4.0%),"11.70 (11.24, 12.16)"
BMI category,under/normal weight,"6,972 (47.7%)","10.78 (10.67, 10.90)"
BMI category,overweight,"3,569 (24.4%)","11.30 (11.15, 11.45)"
BMI category,obesity,"3,932 (26.9%)","12.08 (11.90, 12.26)"
