batch,n_batches,participants,primary_days_md5,source_size,source_modified,PBpatterns_version,reconstruction
1,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
2,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
3,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
4,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
5,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
6,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
7,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
8,50,187,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
9,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
10,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
11,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
12,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
13,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
14,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
15,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
16,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
17,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
18,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
19,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
20,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
21,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
22,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
23,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
24,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
25,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
26,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
27,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
28,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
29,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
30,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
31,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
32,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
33,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
34,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
35,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
36,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
37,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
38,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
39,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
40,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
41,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
42,50,186,1d66829fc177b6f02855e7e1f2f2428a,2210030241,2026-09-14T01:48:17Z,0.3.1.9000,Reaggregated validated daily classifications; known Wake/Sleep bounded non-wear v3
