Subgroup,Category,P value,Pooled (2011-2014): n (%) and mean (95% CI),2011-2012: n (%) and mean (95% CI),2013-2014: n (%) and mean (95% CI)
Race/ethnicity,Mexican American,<0.001,"1135 (12.2%), 8.98 (8.81, 9.15)","471 (10.2%), 8.89 (8.65, 9.13)","664 (14.2%), 9.05 (8.83, 9.27)"
Race/ethnicity,NH Asian,,"1072 (11.5%), 9.85 (9.66, 10.04)","591 (12.8%), 9.88 (9.59, 10.16)","481 (10.3%), 9.82 (9.57, 10.06)"
Race/ethnicity,NH Black,,"2217 (23.8%), 10.28 (10.13, 10.42)","1254 (27.2%), 10.32 (10.11, 10.52)","963 (20.5%), 10.24 (10.03, 10.44)"
Race/ethnicity,NH White,,"3720 (40.0%), 9.84 (9.75, 9.93)","1696 (36.7%), 9.81 (9.68, 9.95)","2024 (43.1%), 9.87 (9.76, 9.98)"
Race/ethnicity,Other Hispanic,,"892 (9.6%), 9.21 (9.04, 9.38)","478 (10.4%), 9.08 (8.81, 9.35)","414 (8.8%), 9.37 (9.16, 9.59)"
Race/ethnicity,Other/Multi,,"272 (2.9%), 10.28 (9.92, 10.65)","126 (2.7%), 10.36 (9.72, 11.00)","146 (3.1%), 10.22 (9.83, 10.61)"
BMI category,underweight,<0.001,"187 (2.0%), 9.75 (9.24, 10.26)","99 (2.1%), 9.68 (8.97, 10.39)","88 (1.9%), 9.84 (9.12, 10.56)"
BMI category,normal weight,,"2713 (29.1%), 9.46 (9.36, 9.56)","1371 (29.7%), 9.53 (9.39, 9.66)","1342 (28.6%), 9.39 (9.25, 9.52)"
BMI category,overweight,,"2899 (31.1%), 9.54 (9.42, 9.65)","1442 (31.2%), 9.44 (9.32, 9.56)","1457 (31.1%), 9.64 (9.44, 9.84)"
BMI category,obesity,,"3407 (36.6%), 10.24 (10.14, 10.33)","1644 (35.6%), 10.23 (10.06, 10.41)","1763 (37.6%), 10.24 (10.14, 10.34)"
