Subgroup,Category,P value,Pooled (2011-2014): n (%) and mean (95% CI),2011-2012: n (%) and mean (95% CI),2013-2014: n (%) and mean (95% CI)
Age group,>=65,<0.001,"2088 (22.4%), 10.10 (9.97, 10.22)","1012 (21.9%), 10.09 (9.88, 10.30)","1076 (22.9%), 10.10 (9.95, 10.25)"
Age group,18-34,,"2643 (28.4%), 9.79 (9.66, 9.91)","1333 (28.9%), 9.81 (9.62, 10.00)","1310 (27.9%), 9.76 (9.61, 9.91)"
Age group,35-44,,"1475 (15.8%), 9.58 (9.42, 9.75)","717 (15.5%), 9.52 (9.30, 9.75)","758 (16.2%), 9.65 (9.42, 9.87)"
Age group,45-64,,"3102 (33.3%), 9.73 (9.61, 9.86)","1554 (33.7%), 9.69 (9.49, 9.88)","1548 (33.0%), 9.79 (9.64, 9.94)"
Gender,Male,0.285,"4465 (48.0%), 9.83 (9.74, 9.92)","2273 (49.2%), 9.80 (9.68, 9.93)","2192 (46.7%), 9.86 (9.73, 9.98)"
Gender,Female,,"4843 (52.0%), 9.76 (9.66, 9.85)","2343 (50.8%), 9.73 (9.56, 9.90)","2500 (53.3%), 9.78 (9.69, 9.87)"
Race/ethnicity,Mexican American,<0.001,"1135 (12.2%), 8.98 (8.81, 9.15)","471 (10.2%), 8.89 (8.65, 9.13)","664 (14.2%), 9.05 (8.83, 9.27)"
Race/ethnicity,NH Asian,,"1072 (11.5%), 9.85 (9.66, 10.04)","591 (12.8%), 9.88 (9.59, 10.16)","481 (10.3%), 9.82 (9.57, 10.06)"
Race/ethnicity,NH Black,,"2217 (23.8%), 10.28 (10.13, 10.42)","1254 (27.2%), 10.32 (10.11, 10.52)","963 (20.5%), 10.24 (10.03, 10.44)"
Race/ethnicity,NH White,,"3720 (40.0%), 9.84 (9.75, 9.93)","1696 (36.7%), 9.81 (9.68, 9.95)","2024 (43.1%), 9.87 (9.76, 9.98)"
Race/ethnicity,Other Hispanic,,"892 (9.6%), 9.21 (9.04, 9.38)","478 (10.4%), 9.08 (8.81, 9.35)","414 (8.8%), 9.37 (9.16, 9.59)"
Race/ethnicity,Other/Multi,,"272 (2.9%), 10.28 (9.92, 10.65)","126 (2.7%), 10.36 (9.72, 11.00)","146 (3.1%), 10.22 (9.83, 10.61)"
BMI category,underweight,<0.001,"187 (2.0%), 9.75 (9.24, 10.26)","99 (2.1%), 9.68 (8.97, 10.39)","88 (1.9%), 9.84 (9.12, 10.56)"
BMI category,normal weight,,"2713 (29.1%), 9.46 (9.36, 9.56)","1371 (29.7%), 9.53 (9.39, 9.66)","1342 (28.6%), 9.39 (9.25, 9.52)"
BMI category,overweight,,"2899 (31.1%), 9.54 (9.42, 9.65)","1442 (31.2%), 9.44 (9.32, 9.56)","1457 (31.1%), 9.64 (9.44, 9.84)"
BMI category,obesity,,"3407 (36.6%), 10.24 (10.14, 10.33)","1644 (35.6%), 10.23 (10.06, 10.41)","1763 (37.6%), 10.24 (10.14, 10.34)"
Education,<9th,<0.001,"768 (8.3%), 8.89 (8.68, 9.11)","421 (9.1%), 8.95 (8.64, 9.25)","347 (7.4%), 8.83 (8.51, 9.14)"
Education,9-11th/12ND,,"1379 (14.8%), 9.46 (9.30, 9.62)","684 (14.8%), 9.48 (9.29, 9.67)","695 (14.8%), 9.43 (9.18, 9.69)"
Education,College+,,"2221 (23.9%), 10.16 (10.02, 10.29)","1113 (24.1%), 10.12 (9.93, 10.31)","1108 (23.6%), 10.19 (10.01, 10.37)"
Education,HS grad/GED,,"2112 (22.7%), 9.46 (9.29, 9.62)","1000 (21.7%), 9.37 (9.07, 9.66)","1112 (23.7%), 9.54 (9.38, 9.69)"
Education,Refused/DK,,"8 (0.1%), 11.18 (8.73, 13.62)","3 (0.1%), 11.30 (6.21, 16.39)","5 (0.1%), 11.14 (8.36, 13.93)"
Education,Some college/AA,,"2820 (30.3%), 9.94 (9.83, 10.05)","1395 (30.2%), 9.93 (9.76, 10.11)","1425 (30.4%), 9.95 (9.82, 10.08)"
Marital status,Divorced,<0.001,"996 (10.7%), 10.05 (9.86, 10.23)","469 (10.2%), 10.11 (9.82, 10.41)","527 (11.2%), 9.98 (9.77, 10.19)"
Marital status,Living with partner,,"639 (6.9%), 9.47 (9.28, 9.66)","344 (7.5%), 9.46 (9.20, 9.72)","295 (6.3%), 9.49 (9.20, 9.78)"
Marital status,Married,,"4444 (47.7%), 9.66 (9.57, 9.75)","2133 (46.2%), 9.58 (9.45, 9.71)","2311 (49.3%), 9.74 (9.61, 9.86)"
Marital status,Never married,,"1736 (18.7%), 10.00 (9.85, 10.15)","912 (19.8%), 10.11 (9.86, 10.36)","824 (17.6%), 9.89 (9.75, 10.03)"
Marital status,Not applicable,,"484 (5.2%), 9.86 (9.60, 10.11)","231 (5.0%), 9.88 (9.50, 10.26)","253 (5.4%), 9.84 (9.50, 10.17)"
Marital status,Refused,,"3 (0.0%), 13.72 (10.32, 17.11)","1 (0.0%), 11.36 (11.36, 11.36)","2 (0.0%), 14.18 (10.62, 17.74)"
Marital status,Separated,,"291 (3.1%), 9.38 (9.08, 9.69)","160 (3.5%), 9.19 (8.82, 9.57)","131 (2.8%), 9.58 (9.11, 10.05)"
Marital status,Widowed,,"715 (7.7%), 10.37 (10.22, 10.53)","366 (7.9%), 10.32 (10.10, 10.54)","349 (7.4%), 10.42 (10.20, 10.64)"
