subgroup,category,n,70% / 20 min,70% / 30 min,70% / 45 min,70% / 60 min,80% / 20 min,80% / 30 min,80% / 45 min,80% / 60 min,90% / 20 min,90% / 30 min,90% / 45 min,90% / 60 min
Overall,All adults,9308,-0.28 (<0.001),-0.06 (<0.001),+0.22 (<0.001),+0.47 (<0.001),-0.22 (<0.001),0.00 (Ref.),+0.27 (<0.001),+0.51 (<0.001),+0.15 (<0.001),+0.45 (<0.001),+0.79 (<0.001),+1.09 (<0.001)
Sex,Male,4465,-0.30 (<0.001),-0.07 (<0.001),+0.23 (<0.001),+0.51 (<0.001),-0.23 (<0.001),0.00 (Ref.),+0.29 (<0.001),+0.55 (<0.001),+0.19 (<0.001),+0.51 (<0.001),+0.87 (<0.001),+1.20 (<0.001)
Sex,Female,4843,-0.25 (<0.001),-0.05 (<0.001),+0.21 (<0.001),+0.44 (<0.001),-0.20 (<0.001),0.00 (Ref.),+0.25 (<0.001),+0.47 (<0.001),+0.12 (<0.001),+0.40 (<0.001),+0.72 (<0.001),+1.00 (<0.001)
Age,18-34,2643,-0.23 (<0.001),-0.05 (<0.001),+0.18 (<0.001),+0.39 (<0.001),-0.18 (<0.001),0.00 (Ref.),+0.22 (<0.001),+0.42 (<0.001),+0.19 (<0.001),+0.46 (<0.001),+0.78 (<0.001),+1.06 (<0.001)
Age,35-44,1475,-0.23 (<0.001),-0.05 (<0.001),+0.18 (<0.001),+0.39 (<0.001),-0.18 (<0.001),0.00 (Ref.),+0.22 (<0.001),+0.41 (<0.001),+0.15 (<0.001),+0.41 (<0.001),+0.71 (<0.001),+0.98 (<0.001)
Age,45-64,3102,-0.28 (<0.001),-0.06 (<0.001),+0.22 (<0.001),+0.47 (<0.001),-0.22 (<0.001),0.00 (Ref.),+0.27 (<0.001),+0.51 (<0.001),+0.14 (<0.001),+0.43 (<0.001),+0.77 (<0.001),+1.06 (<0.001)
Age,>=65,2088,-0.38 (<0.001),-0.08 (<0.001),+0.32 (<0.001),+0.67 (<0.001),-0.30 (<0.001),0.00 (Ref.),+0.38 (<0.001),+0.71 (<0.001),+0.14 (<0.001),+0.51 (<0.001),+0.94 (<0.001),+1.31 (<0.001)
BMI,Underweight,187,-0.21 (<0.001),-0.04 (<0.001),+0.23 (<0.001),+0.53 (<0.001),-0.18 (<0.001),0.00 (Ref.),+0.26 (<0.001),+0.54 (<0.001),+0.19 (<0.001),+0.47 (<0.001),+0.83 (<0.001),+1.16 (<0.001)
BMI,Normal weight,2713,-0.25 (<0.001),-0.05 (<0.001),+0.21 (<0.001),+0.44 (<0.001),-0.20 (<0.001),0.00 (Ref.),+0.25 (<0.001),+0.47 (<0.001),+0.14 (<0.001),+0.41 (<0.001),+0.73 (<0.001),+1.00 (<0.001)
BMI,Overweight,2899,-0.27 (<0.001),-0.06 (<0.001),+0.22 (<0.001),+0.45 (<0.001),-0.21 (<0.001),0.00 (Ref.),+0.26 (<0.001),+0.48 (<0.001),+0.15 (<0.001),+0.44 (<0.001),+0.77 (<0.001),+1.06 (<0.001)
BMI,Obesity,3407,-0.30 (<0.001),-0.07 (<0.001),+0.24 (<0.001),+0.51 (<0.001),-0.24 (<0.001),0.00 (Ref.),+0.29 (<0.001),+0.55 (<0.001),+0.17 (<0.001),+0.49 (<0.001),+0.86 (<0.001),+1.18 (<0.001)
Race/ethnicity,Mexican American,1135,-0.23 (<0.001),-0.05 (<0.001),+0.20 (<0.001),+0.43 (<0.001),-0.19 (<0.001),0.00 (Ref.),+0.24 (<0.001),+0.46 (<0.001),+0.18 (<0.001),+0.47 (<0.001),+0.82 (<0.001),+1.12 (<0.001)
Race/ethnicity,Other Hispanic,892,-0.25 (<0.001),-0.06 (<0.001),+0.18 (<0.001),+0.40 (<0.001),-0.19 (<0.001),0.00 (Ref.),+0.23 (<0.001),+0.45 (<0.001),+0.16 (<0.001),+0.43 (<0.001),+0.76 (<0.001),+1.04 (<0.001)
Race/ethnicity,NH White,3720,-0.28 (<0.001),-0.06 (<0.001),+0.23 (<0.001),+0.48 (<0.001),-0.22 (<0.001),0.00 (Ref.),+0.27 (<0.001),+0.51 (<0.001),+0.13 (<0.001),+0.43 (<0.001),+0.76 (<0.001),+1.04 (<0.001)
Race/ethnicity,NH Black,2217,-0.29 (<0.001),-0.07 (<0.001),+0.22 (<0.001),+0.51 (<0.001),-0.22 (<0.001),0.00 (Ref.),+0.28 (<0.001),+0.55 (<0.001),+0.23 (<0.001),+0.57 (<0.001),+0.97 (<0.001),+1.33 (<0.001)
Race/ethnicity,NH Asian,1072,-0.29 (<0.001),-0.07 (<0.001),+0.22 (<0.001),+0.49 (<0.001),-0.23 (<0.001),0.00 (Ref.),+0.27 (<0.001),+0.53 (<0.001),+0.21 (<0.001),+0.54 (<0.001),+0.92 (<0.001),+1.26 (<0.001)
Race/ethnicity,Other/Multi,272,-0.27 (<0.001),-0.07 (<0.001),+0.20 (<0.001),+0.47 (<0.001),-0.21 (<0.001),0.00 (Ref.),+0.25 (<0.001),+0.52 (<0.001),+0.14 (<0.001),+0.44 (<0.001),+0.79 (<0.001),+1.09 (<0.001)
